Company,Star Rating,Current Employee,Work Duration,Review Title,Date Posted,Job Title,Job Location,Recommend,CEO Approval,Business Outlook,Pros,Cons,Advice to Management
Meta,4.0,1,,Product Operations as an Entry Point to Tech,2022-02-24,Product Development Specialist,"Washington, DC",2,1,1,"1. Working with product team, engineering and cross functional partners providers good product experience
2. Working within product development lifecycle",1. Operational role that is often overlooked by product teams,Provide better career planning for ICs
Meta,5.0,1,more than 3 years,People Focused,2020-05-24,Engineering Manager,"San Francisco, CA",2,2,2,"Facebook deeply cares about its employees and has built a compelling culture around support and growth. Career growth opportunities are plentiful. If you don't like the team you're on or don't get the support you want from your manger, Facebook empowers you to find new teams or projects. Facebook wants its employees to be invested in their work and to feel connected to its larger mission. If large scale opportunities and growth are important to you, Facebook is a fantastic place to work.",Facebook's culture is demanding and fast paced. The greatest aspect of working at Facebook is that everyone is very motivated and very smart. The problem with this is that they all expect the very same of you. Holding a very high bar for excellence can certainly be demanding so it's important to make sure you're always carefully paying attention to your own personal work/life balance.,
Meta,3.0,1,more than 1 year,Smart ppl but difficult culture,2022-02-23,Client Solutions Manager,"San Francisco, CA",-1,0,0,a lot of smart ppl,leadership teams all sounded the same. Everyone was afraid to give their own opinion to some critical matters. very fake,
Meta,5.0,1,,Good employer,2022-02-09,Penetration Tester,"Boston, MA",0,0,0,Good salary available for this position,The AI needs to be completely revamped and re engineered to be more effective and less inaccurately triggered,
Meta,4.0,1,less than 1 year,"average company, good choice to work at Seattle",2022-02-23,Front End Developer,"Seattle, WA",0,0,0,"competitive salary;
locate at downtown, transportation-friendly;","low work-life-balance
workload is heavier;
inflexible working time",
Meta,5.0,1,,yes,2022-02-08,Programmer,"Los Angeles, CA",-1,-1,1,nice job super good very,bad name mark suckerberg ceo,
Meta,4.0,1,more than 1 year,Great benefits but crap WLB,2022-02-18,Senior Software Developer,"Bellevue, WA",2,1,2,"Great benefits
High compensation
Smart developers
Good internal mobility and team selection process","Terrible Work Life Balance
Performance Anxiety
Poor company morale from news",
Meta,5.0,1,more than 3 years,Career-Changing Opportunity,2022-01-25,Project Manager,"San Francisco, CA",2,2,2,"• Meta is an incredible place to gain experience, work (and network!) with people who are at the top of their fields, and grow your own skill set—IF you invest the effort and time to make it happen. 
• Many employees have the chance to work with people from all over the world, in an environment that encourages different perspectives. 
• I never thought someone like me would belong at a company like this—but I feel welcomed and encouraged, and I'm grateful to have learned so much (personally and professionally) from my coworkers. Never would've believed I'd feel this way while starting remotely during COVID, either!
• Most managers at Meta really want to be managers; folks aren't promoted just because it's the next most logical step in their career. In my experience, this means most managers are supportive, want to see you succeed, and are invested in helping you grow your career, not just in furthering their own agenda.
• Comp & benefits are amazing. WHY DID MY GUIDANCE COUNSELORS IN HIGH SCHOOL AND COLLEGE NOT TELL ME ABOUT RSUs??? That is all. 
• Having Meta on your resumé will open doors in a way that name dropping few other companies would.
• The support Meta provided throughout COVID has been exceptional, with flexibility and leave options that have helped me deal with remote learning, childcare gaps, and more. I've repeatedly told friends how lucky I have been to have joined Meta just before the pandemic.","• There are high expectations. ""Move fast"" isn't just a value — it's a description of how we work. If you like rigid work structures and aligning to predefined goals without questioning or re-assessing them as you progress, you probably won't thrive in the Meta environment. 
• Because of this constant flux, it can be hard to take PTO or maintain a consistently good work/life balance. This honestly depends on your team and manager, as well as how good you are at prioritizing. (Hint: Get comfortable saying no.)
• Constant press leaks continue to threaten the previously ""open by default"" culture, complicating some teams' jobs (as they react to announcements vs. prepare for announcements).","Listen to these reviews, and internal survey results. Keep the culture open."
Meta,3.0,0,more than 5 years,Rotten,2022-02-22,Marketing Manager,"Anaheim, CA",-1,1,-1,None no pros terrible stinks,Worst company terrible corporate culture,Let Zuck know that he’s a tool
Meta,5.0,1,more than 1 year,Good place to work,2022-02-07,Documentation Engineer,"San Francisco, CA",2,-1,2,"- excellent team
- excellent benefits
- good pay","- negative press
- too many tools",
Meta,5.0,1,more than 1 year,great benefits,2022-02-07,Administrative Specialist,"Austin, TX",2,2,2,"I have had such a great experience working for Meta since I joined the company. The maternity time is awesome compared to a lot of other companies, they really value family.",things move at a very fast pace.,keep doing what your doing
Meta,4.0,1,more than 1 year,"Great work/life balance, culture, and benefits",2022-02-18,"Project Manager, Product Data Operations","Menlo Park, CA",2,2,2,"- Work life balance
- Benefits 
- Culture (people first)","- Underpaid for what we do (work in product) 
- Title is inaccurate (should be program manager) 
- Performance Reviews are extremely competitive, rate everyone against each other rather than sole performance in your role...if everyone is overachieving, then that is the new baseline ""expectation"", so even if you're crushing it in your role and doing extra, you can still get a meets expectations. Difficult to get promotions and pay raise",
Meta,2.0,1,more than 1 year,Meta,2022-02-22,Technical Recruiter,"Los Angeles, CA",2,1,-1,"Amazing benefit, people are so friendly and helpful, competitive pay, great systems","It's difficult to get promoted, little mentorship, managers aren't well trained and aren't supportive of growth. There is no work life balance and little reward for working harder.",
Meta,5.0,1,,too good to be true,2022-02-06,Research Scientist,"Menlo Park, CA",0,0,0,too good to be true.,no cons at all at this company.,keep it up!
Meta,5.0,1,more than 1 year,Amazing culture likely unmatched anywhere else,2022-02-05,Data Center Operations Engineer,"Fort Worth, TX",2,2,2,The culture is incredible. Autonomy is high and employees are encouraged to drive solutions in many areas without the typical red tape one would expect from a large company.,Recent rapid growth has led to hiring many folks without the same cultural mindset. Creeping in of a different more traditional culture where employees are awarded for their ability to raise key metrics which don't support the business and are very self serving.,"Support employees to drive change without unnecessary focus on ""metrics"" which really motivate negative behavior. Also, stop rewarding people for coming up with the best sales pitch for their solution and rather support real positive impact. Reduce internal communication as it often times is a massive distraction and waste of time and attention."
Meta,5.0,1,more than 8 years,Great company,2022-02-05,Facilities Manager,"Menlo Park, CA",2,2,2,"Leadership, peers, culture, compensation, work-life balance","Becoming corporate, less start-up and less fun",
Meta,4.0,1,more than 1 year,Great internal culture,2022-02-18,Manager,"Seattle, WA",2,1,-1,"Work/life balance, benefits, ability to grow","External scrutiny, perception of organization",
Meta,3.0,1,more than 1 year,Bad Management,2022-02-19,User Experience Researcher,"Menlo Park, CA",-1,1,-1,"Compensation package
Top talent
Flexible work conditions","Lack of process, guidance, structure
No one care about the other
Incompetent Managers",They seem to be hiring whoever they can get their hands into. Especially low quality management is ruining people's wellbeing.
Meta,5.0,0,more than 1 year,Nice place to work,2022-02-03,Data Analyst,"San Jose, CA",0,0,0,"Great views, and great food",Like all jobs it takes some getting used to,
