GE,4.0,1,less than 1 year,Decent Pay with little strain,2022-02-07,Molding Operator,,2,-1,1,"Even around people, you’re to yourself ..for the introverts, pay raise is quite often, relaxed environment, for the most part, depending on where you are placed","Stay away from workplace drama (per usual), management isn’t attentive to needs outside of what they need from you (excluding HR), aren’t good at training","- stop dismissing the needs of employees (individual cases)
- spend more time training and less time upset about the job not being done right"
GE,3.0,1,,Good entry position,2022-02-22,HRM,"Erie, PA",0,0,0,"Excellent training program (although limited classroom capacity), smart colleagues. Good place to start your career.","Limited advancement opportunities, benefits not what they used to be.",
GE,5.0,1,more than 1 year,Lsd,2022-02-05,LSD,"London, OH",2,0,0,Awesome company to work with,Spin off happens in short time,Employee retain
GE,5.0,1,,Good,2022-02-06,Assistant Vice President,,0,0,0,A friendly place to work,A competitive place to work,
GE,4.0,1,,Great company loves it's employees and takes care of them,2022-02-05,Anonymous Employee,,0,0,0,Encourages growth and empowerment for all. Ok salary is offset with fantastic family time.,Ok salary. Not sure of growth since it's splitting.,
GE,3.0,1,more than 8 years,Rebuilding,2022-02-19,Process Engineer,,2,0,2,"A lot of potential 
Good place to retire from","Management is inexperienced
Limited appliction of experience to non aviation roles",
GE,4.0,1,,Good Pay | Decent Benefits,2022-02-03,Senior Technical Product Manager,"Atlanta, GA",0,0,0,Good compensation for early career roles. Benefits package is also industry standard. Unlimited PTO which is a GREAT benefit.,Promotions are hard to get. Leadership is not great.,
GE,4.0,1,more than 10 years,"Great people, they need to take care of them better",2022-01-31,Senior Solutions Architect,"Atlanta, GA",2,0,0,Getting to work with some of the most talented and caring coworkers working on real world problems and solutions,The pay doesn't reflect the size of the problems being solved and there is no clear plan to address rising inflation and taking care of employees. Lot of attrition issues.,
GE,4.0,0,,good opportunity to diversify your skill sets,2022-02-02,Consumable Sales Specialist,"Minneapolis, MN",0,0,0,consistent opportunity for learning skills and building your development,Difficult to grow within the division.,
GE,3.0,1,,PM,2022-02-16,Project Manager,,0,0,0,Dynamic complex projects that involve multiple resources.,Company has been struggling the last few years.,
GE,3.0,0,,Sr UX Designer,2022-02-15,Senior User Experience Designer II,,2,2,2,"My career includes professional experience in designing brand identities, design systems, asset 
creation, applications for web, desktop and mobile, PPT presentation and collaborative work with 
developers.",should think from employee perspective,NA
GE,3.0,1,more than 3 years,Engineer,2022-02-15,Software Engineer,,0,0,0,Good work life balance overall,Company having financial challenges currently,
GE,5.0,1,more than 3 years,Great place to work,2022-01-31,CNC Operator,"Wilmington, NC",2,0,2,Great pay and benefits with OT,Not really anything that I can say,
GE,4.0,1,less than 1 year,Not bad,2022-01-31,Mechanical Engineer,"Wilmington, NC",2,1,2,Interesting work and provides good benefits,Doesn’t provide clear career growth and lots of retirees that don’t really care about the company,
GE,3.0,0,more than 8 years,Overall,2022-02-14,Anonymous Employee,,-1,1,-1,Good pay and growth opportunities,Layoffs occur frequently and don't target poor performers.,
GE,3.0,1,,Reasonable Employer,2022-02-14,Lead Accounting Analyst,"Schenectady, NY",-1,1,1,Good Work life balance and fair upper management,Lack of career growth within business,
GE,3.0,1,,Great place to build a career.,2022-02-14,Senior International Trade Compliance Specialist,"Raleigh, NC",2,1,1,Tradition of leadership development. Originator of employee affinity/resource groups. Global diversity.,Relentless pace. Average versus competitors or pay & compensations. Constant reorganizations.,
GE,3.0,1,more than 8 years,Streamlined Company,2022-02-14,Wind Turbine Technician III,"Arlington, OR",0,0,0,"ppe is paid for, decent health benefits.","Take a number, is like dmv. Will likely be a 9 digit employee number",Value your good employees. You will keep them longer.
GE,4.0,1,more than 10 years,Working at GE,2022-01-29,Anonymous Employee,,0,0,0,"Global opportunity, Good Management/Leadership Training","Stock Price has been very bad, Compensation",
GE,3.0,0,more than 3 years,Lots of work - lots of MOney,2022-02-13,Director,"Grand Island, NE",-1,0,2,Money money money and more money,"no free time, no life or sleep",try not working people to burn out
