,quarters,ratings,title_senti,pnc_senti,work_duration,current_employee,recommend,ceo_approval,business_outlook,earnings,pred_column
1,Q2,0.2726561218840111,0.8006843952583981,0.936043055491042,0.5196490258967329,1,2,2,0,0.064716092239028,1.0
2,Q3,0.07382767874300625,0.3627508206129065,0.09278459689495024,1.0,1,2,2,1,0.18794941730721546,1.0
3,Q4,0.08782358311010924,0.4604454505701579,0.5686273544014527,0.774317172475808,1,2,2,2,0.042896107116290584,0.0
4,Q5,0.26141194848251637,0.518268680797915,0.6285789058120465,0.9326706959502354,1,2,2,2,0.06124473096950158,1.0
5,Q6,0.042569250754613035,0.32655816759397727,0.41217444414367854,0.9000626935522332,1,2,2,2,0.11207537813042398,1.0
6,Q7,0.06561117767177119,0.3848026402882833,0.0,0.7392816535511227,1,2,2,2,0.25316141829903294,1.0
7,Q8,0.0,0.20798530992315534,0.17329087143565805,0.6010264438041364,1,2,2,2,0.1430696751797669,0.0
8,Q9,0.1363576685130647,0.5210494794187894,0.5511600265746612,0.8306589230450425,1,2,2,2,0.059261095958343626,0.0
9,Q10,0.06374737071951053,0.4327860255839387,0.5072377536630184,0.772094786162214,1,2,2,2,0.15001239771881972,1.0
10,Q11,0.10401551970409312,0.510658994162981,0.7635135859724981,0.6293936526773112,1,2,2,1,0.31638978427969244,1.0
11,Q12,0.24646161082479986,0.5664403917424627,0.7219647441325479,0.5192830364087729,1,2,2,2,0.18918918918918914,0.0
12,Q13,0.17386097912672208,0.5405396495594216,0.5734233827565207,0.4281725544106236,1,2,0,2,0.15001239771881972,0.0
13,Q14,0.1361863027163465,0.0748647290169077,0.296355057023328,0.49803308339608,1,2,0,2,0.19960327299776837,1.0
14,Q15,0.16134604666867639,0.05862111439179545,0.5876029254653531,0.37173360203367556,1,2,0,2,0.3620133895363253,1.0
15,Q16,0.2670032029575892,0.0,0.6433068891563453,0.4217946635329354,1,2,0,2,0.23580461195140093,0.0
16,Q17,0.33575170166967383,0.08893174929446722,0.8483339758217354,0.4483989537187919,1,2,0,2,0.17282420034713614,0.0
17,Q18,0.4058580570636539,0.17615829307474695,0.8473046768528637,0.5199329522862652,1,2,0,2,0.2551450533101909,1.0
18,Q19,0.44378788260608554,0.2192856255123461,0.9536338704483551,0.4074723001829405,0,2,0,2,0.4133399454500371,1.0
19,Q20,0.3317353035900079,0.0088522084104927,0.6534557219454582,0.324233107397613,0,2,0,2,0.29630547979171834,0.0
20,Q21,0.46169709238880113,0.1572018359085265,0.5098745430627374,0.43333478383905644,1,2,2,2,0.24051574510290105,0.0
21,Q22,0.2549520398333798,0.08769597110319417,0.6234209121373565,0.4769496587619253,1,2,2,2,0.3074634267294817,1.0
22,Q23,0.48946930189822563,0.12449991920982585,0.6049191398468952,0.4593413491932506,1,2,2,2,0.4706174063972229,1.0
23,Q24,0.4860238936300064,0.14790979855018324,0.6228305724452645,0.46193016129123726,1,2,2,2,0.344904537565088,0.0
24,Q25,0.5336949730736755,0.2807685418882515,0.6795117202892238,0.4175428240555146,1,2,2,2,0.24919414827671704,0.0
25,Q26,0.4170058036504946,0.1298882983109718,0.5506845585654008,0.41060997762146656,1,2,2,2,0.4041656335234316,1.0
26,Q27,0.3072398462569573,0.13563305792069733,0.23817073891962814,0.4530720036022805,1,2,2,2,0.6774113563104388,1.0
27,Q28,0.5342131728571453,0.20652891950789828,0.5803821223106637,0.43995961847298626,1,2,2,2,0.5189685097941978,0.0
28,Q29,0.471528388311764,0.6841433705677576,0.5001113863088122,0.23596481319330537,1,2,2,2,0.389288370939747,0.0
29,Q30,0.4799798407002494,0.6108145838901418,0.3502492549616604,0.2764658716908899,1,2,2,2,0.43119266055045863,1.0
30,Q31,0.5473218636519567,0.7618813638623713,0.21221832537095736,0.1669693323909661,0,2,2,2,0.6707165881477808,1.0
31,Q32,0.904207818254667,0.94593010787274,0.826015115735788,0.15818811651030518,1,2,2,2,0.494668980907513,0.0
32,Q33,0.7504461850250636,0.8807312346316118,0.6331901357359081,0.3710829214521397,0,2,2,2,0.42325812050582684,0.0
33,Q34,0.7659329514586913,0.849939262678137,0.7739982414793446,0.0,0,2,0,2,0.36474088767666746,0.0
34,Q35,0.6416885129825256,0.6942459831998454,0.34674781923172104,0.08752669195079466,0,2,0,0,0.8822216712124967,1.0
35,Q36,0.7869709179884427,0.7703582605729005,0.5147251541763197,0.06053878335761697,1,2,0,0,0.6590627324572278,0.0
36,Q37,1.0,1.0,0.7494300106441361,0.1162207423731592,1,2,0,0,0.5164889660302504,0.0
37,Q38,0.6275752245805821,0.6855826791476248,0.36245821013748464,0.10000663211046792,1,2,0,0,0.8358542028266797,1.0
38,Q39,0.6961830261707089,0.6143469916184293,0.44116271183429484,0.1296354429130601,1,2,0,0,1.0,1.0
39,Q40,0.6669894247211439,0.6449093232209905,0.2345578079772857,0.1484905739920393,1,2,0,0,0.8318869328043638,0.0
